	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
label	0.0	0.38646046539037804	0.3389533489765263	0.29546411986361176	0.29280220098387316	0.25221600182651777	0.20911400814000888	0.19727971346814183	0.19916470540066467	0.36206570037898295	0.5068741164682158	0.35570159155379716	0.38007365686263794	0.3431656435790937	0.3401895449791266	0.3279819242916485	0.32131108917491874	0.3615619839422081	0.33961795069687456	0.3015156700309352	0.3293080860695164	0.2740473527629226	0.38432003835800665	0.43787476693304783	0.2311382083125405	0.17354485850169538	0.26216090386501206	0.2040807206344088	0.19180462439869178	0.23993090425589267	0.19414885870265694	0.34369413745334865	0.47004461162122047	0.3206835575771401	0.43901738783104927	0.29279238949621433	0.2963051161729413
spaGCN_6	0.38646046539037804	0.0	0.7097744410328867	0.6080465007041118	0.5370759938705292	0.5102994400097998	0.3806255210397881	0.4237987502355135	0.42789087967771183	0.5545377653992715	0.6594601097789414	0.5762401191012679	0.5566502945048871	0.44849321650310076	0.46408284617777873	0.4496499336773763	0.5328719043995139	0.5999714315321768	0.5706512805063759	0.5510224001862815	0.5297575302985554	0.5088052325120306	0.547154849866733	0.559865619306686	0.43752577340688154	0.304140525514596	0.3024068210779316	0.3328143908717157	0.2980205425879156	0.5010140723724126	0.41558969858362177	0.5531313000582319	0.5358419811971482	0.3114771476670836	0.5557269951705859	0.40628215996106304	0.5187613126168557
spaGCN_4	0.3389533489765263	0.7097744410328867	0.0	0.5866576338575816	0.6331085823040212	0.600479476969314	0.4009798228489778	0.42051104504043374	0.42277266959045645	0.5696582577280684	0.5745943998079162	0.512964817600528	0.5505543436047876	0.4781628680983645	0.4683079581224933	0.46921890342845446	0.5409047298887375	0.6351169792396018	0.6060905018528612	0.5867684477508274	0.5286591484518434	0.5060050068373573	0.5375237617067355	0.5329744934601643	0.43261185155866977	0.338881644374485	0.2985641948029765	0.3717730494064431	0.3329990697828196	0.48883517855831077	0.4459642400066335	0.5698352736242019	0.4656551860963963	0.29598261588773367	0.4743493905438572	0.42016973003305486	0.5088262661536729
spaGCN_7	0.29546411986361176	0.6080465007041118	0.5866576338575816	0.0	0.521756195177317	0.6991787926499174	0.6027780587016217	0.6917663613981989	0.6937490904987321	0.4452350010808591	0.5179848314732465	0.5598580929107442	0.4310918399618772	0.3576224223372264	0.36945367192356326	0.3546236728312537	0.4660693546621765	0.527605366931261	0.5221063862441271	0.48413917818184055	0.39167031658156404	0.38947455179607426	0.415374726938012	0.4338491829319731	0.5208946801646125	0.5014922303718473	0.4862663770848664	0.5219720605725403	0.4945601807986692	0.7013871677118386	0.6612025136032643	0.43411039066180146	0.3840560275499249	0.2481762873575694	0.4150633712874812	0.31108268382272514	0.3844760498076295
spaGCN_14	0.29280220098387316	0.5370759938705292	0.6331085823040212	0.521756195177317	0.0	0.5798699832425588	0.36063535625407855	0.3795699028786685	0.38302200434789524	0.5189798549204523	0.4790173906572803	0.5006342341799234	0.5159055771929973	0.4421581707769785	0.43161131113538914	0.434231447430026	0.4843672554229241	0.5166779904825494	0.492928983660602	0.5142994541911636	0.4724301878728225	0.44782569184950216	0.4522444900518295	0.42663421144337316	0.40469265205856453	0.3002284465702603	0.2632617228807004	0.33234418887841466	0.29115625781651494	0.4357602800698037	0.4010994337526434	0.5143959818113438	0.3912123165724632	0.24091238226763717	0.44532791872694566	0.37168030791714307	0.45942224017105393
spaGCN_13	0.25221600182651777	0.5102994400097998	0.600479476969314	0.6991787926499174	0.5798699832425588	0.0	0.5418158383315791	0.5591268398355208	0.5594319820144835	0.43224571556647773	0.4360069541648971	0.4708458007586313	0.42841736844981604	0.3649927967482329	0.37290793712274367	0.3612229720997688	0.4566758751329432	0.5019503363595949	0.4936323850856736	0.4683939729462272	0.38683890789600556	0.39109209739600104	0.4015569110614282	0.40397175150066034	0.4614019186213167	0.44944276301399294	0.41080802526343996	0.4811540412688164	0.44926855185958187	0.5581917815265576	0.5696574672531786	0.4123276645551299	0.341857820505444	0.2295424767987841	0.35447811454516304	0.3032603726684086	0.36670164073956446
scanpy_2	0.20911400814000888	0.3806255210397881	0.4009798228489778	0.6027780587016217	0.36063535625407855	0.5418158383315791	0.0	0.8473493424920403	0.8706872902529804	0.3020230875025537	0.33758927277443135	0.3906185710841217	0.29160407681853984	0.2389336391974729	0.24890106098137416	0.24690142081529687	0.3848488507217228	0.3942446450262667	0.4079153723759428	0.38433200378669946	0.26095918729447154	0.29099608736716576	0.2861957764712804	0.3039362179762042	0.5025155005589492	0.68204681862911	0.6709920207594374	0.7071938616473937	0.7120296861455258	0.7122136397860973	0.7720706311223684	0.28088595259263704	0.24308552974093978	0.16710577255879505	0.25280787465462135	0.21137889558327808	0.2556752816099599
scanpy_3	0.19727971346814183	0.4237987502355135	0.42051104504043374	0.6917663613981989	0.3795699028786685	0.5591268398355208	0.8473493424920403	0.0	0.9527849231228289	0.328750763508712	0.3661889798534001	0.4461833991916987	0.3118735790571188	0.26060057673280795	0.27745146585655767	0.2682770893470855	0.419662697622916	0.43614102290050943	0.44946000518998996	0.42400090382488165	0.29241283376188343	0.3206290445321478	0.2980622202648644	0.31164488308981086	0.5288778006702061	0.667194029863858	0.6400991523371966	0.6858996944760454	0.6630640377809538	0.7962460797259551	0.816364271671802	0.31595824847570897	0.2709935625256525	0.1796890314778013	0.2952778076441839	0.23131611179196868	0.28433713427065893
scanpy_1	0.19916470540066467	0.42789087967771183	0.42277266959045645	0.6937490904987321	0.38302200434789524	0.5594319820144835	0.8706872902529804	0.9527849231228289	0.0	0.32832471763962845	0.3792563579002048	0.44700365615188836	0.31530952730582845	0.2627129986010421	0.2793378484971028	0.27174227130259493	0.4186062725210897	0.4363372051271171	0.4495765511487355	0.4229628259788203	0.28960890766579905	0.3193284015116637	0.3085586620142061	0.3258614490127423	0.5336966695070581	0.6705452991928569	0.6360405065743769	0.692697335746579	0.668412151106193	0.8109484593925572	0.8351202208182871	0.3176272733966953	0.2727836610154277	0.18019206860096176	0.2982017938360226	0.22992558037289393	0.28714707647218696
bass_5	0.36206570037898295	0.5545377653992715	0.5696582577280684	0.4452350010808591	0.5189798549204523	0.43224571556647773	0.3020230875025537	0.328750763508712	0.32832471763962845	0.0	0.7056493466946699	0.6189522080132075	0.8205948087335835	0.6544944694587861	0.6234077916251661	0.6117707080952488	0.5545650580676215	0.6166845052848997	0.5824353400101079	0.6130436373580859	0.694792918680217	0.6240071211990245	0.6528028886637367	0.5946379101170205	0.45291954858852485	0.24907127803078358	0.21754392205387296	0.29134619193710476	0.23800254513778113	0.4114929806958463	0.35772039074924733	0.7512245635825505	0.5457829469276197	0.371320074441943	0.6195386251204172	0.585633917786689	0.6554000888991619
bass_2	0.5068741164682158	0.6594601097789414	0.5745943998079162	0.5179848314732465	0.4790173906572803	0.4360069541648971	0.33758927277443135	0.3661889798534001	0.3792563579002048	0.7056493466946699	0.0	0.6600392515789275	0.7226014535388684	0.5636726382353562	0.5564910513768491	0.5404158489401507	0.5512464863305028	0.6204126672939497	0.5939215335644221	0.5655968357686169	0.5593290146690835	0.4979672588641066	0.664267098410746	0.727158100288692	0.4562857002687506	0.2657372270225949	0.2606979428582878	0.30299184890471076	0.2581351117216493	0.46197944039736516	0.3758736743615346	0.6413859193011221	0.627978007253941	0.4223718831756423	0.6815856615926221	0.5056437991989188	0.5828843850241968
bass_3	0.35570159155379716	0.5762401191012679	0.512964817600528	0.5598580929107442	0.5006342341799234	0.4708458007586313	0.3906185710841217	0.4461833991916987	0.44700365615188836	0.6189522080132075	0.6600392515789275	0.0	0.6705102937165398	0.4891772139734043	0.49705874204232625	0.48329814869909626	0.5027517159120434	0.5208398488744052	0.5064280315527279	0.527512309385872	0.49362931429871204	0.47251974288770876	0.49973547511870814	0.5109340076124242	0.5086335456851738	0.31433795414273397	0.3033543675864838	0.3401767299106758	0.30541230091336674	0.4800839565517947	0.4212451082765676	0.5568067288566682	0.4858962935597569	0.31714328986784907	0.5746279446730205	0.4201094708901312	0.5118830037085079
bass_4	0.38007365686263794	0.5566502945048871	0.5505543436047876	0.4310918399618772	0.5159055771929973	0.42841736844981604	0.29160407681853984	0.3118735790571188	0.31530952730582845	0.8205948087335835	0.7226014535388684	0.6705102937165398	0.0	0.6365696780251084	0.6190284727841929	0.6124930421696402	0.5347446549884967	0.5957981949651274	0.5613069978347452	0.5898969619114675	0.6508690621506747	0.5716536787696866	0.6577711651966522	0.6248660466036549	0.4360721422890411	0.2356169234139148	0.2038061859191384	0.2729059082293683	0.22455720684948752	0.38805943682677607	0.3435995450069049	0.704788680105279	0.545433232845944	0.35909830805128173	0.6481693883469553	0.5573319449291492	0.6724726887313244
CellCharter_2	0.3431656435790937	0.44849321650310076	0.4781628680983645	0.3576224223372264	0.4421581707769785	0.3649927967482329	0.2389336391974729	0.26060057673280795	0.2627129986010421	0.6544944694587861	0.5636726382353562	0.4891772139734043	0.6365696780251084	0.0	0.7734547261025991	0.7287047767942004	0.4830950388579981	0.539549910763004	0.5123520569034161	0.5433620323448046	0.5992238130816173	0.5218495540699616	0.6103619431278764	0.5661459426229706	0.3690498148630837	0.1962024258474562	0.16668307083936812	0.2347283521203157	0.18681239635211425	0.33233922982865	0.3003138376425863	0.6417897313382495	0.5373396623348256	0.37558562777910764	0.5621061284227276	0.5773489149930889	0.5771392905702847
CellCharter_3	0.3401895449791266	0.46408284617777873	0.4683079581224933	0.36945367192356326	0.43161131113538914	0.37290793712274367	0.24890106098137416	0.27745146585655767	0.2793378484971028	0.6234077916251661	0.5564910513768491	0.49705874204232625	0.6190284727841929	0.7734547261025991	0.0	0.7194133373355578	0.4696337955265398	0.531285701274933	0.5082374186658158	0.5349089438502919	0.5721689125209405	0.5096178044805485	0.5940399278774485	0.5735111901200303	0.37616613078630917	0.2081433051465322	0.17653871081404476	0.24202276942175002	0.19933495918366992	0.3438379295441574	0.31086471846955444	0.615247686630678	0.4880060113333324	0.3663252974380259	0.5529044484520452	0.5794690472427115	0.5619826751755933
CellCharter_1	0.3279819242916485	0.4496499336773763	0.46921890342845446	0.3546236728312537	0.434231447430026	0.3612229720997688	0.24690142081529687	0.2682770893470855	0.27174227130259493	0.6117707080952488	0.5404158489401507	0.48329814869909626	0.6124930421696402	0.7287047767942004	0.7194133373355578	0.0	0.47281422844171594	0.5177309373052967	0.505812040937194	0.526768438979078	0.5801634730686475	0.4979150495312052	0.5779734662350653	0.569878989583526	0.36338414142703757	0.20100814008215223	0.1686283776006903	0.2381995479259672	0.19175069852703963	0.3326571933034816	0.3031881570365311	0.5955421825911426	0.48267260056521916	0.3332309171816951	0.5293776664130061	0.5328903996490303	0.5633346957826413
SEDR_5	0.32131108917491874	0.5328719043995139	0.5409047298887375	0.4660693546621765	0.4843672554229241	0.4566758751329432	0.3848488507217228	0.419662697622916	0.4186062725210897	0.5545650580676215	0.5512464863305028	0.5027517159120434	0.5347446549884967	0.4830950388579981	0.4696337955265398	0.47281422844171594	0.0	0.6906320734831257	0.7103110274674261	0.8340520008284394	0.5446830345851282	0.538948554377879	0.4804638301352693	0.48651609281508074	0.46397182553214456	0.30587373948862145	0.26411677361040176	0.33295616068380945	0.29143832185947643	0.4944464470698047	0.45586067884594716	0.5388117407945281	0.46969730734473586	0.31446182310428855	0.5129060411436102	0.44355916573544696	0.5066740674805055
SEDR_2	0.3615619839422081	0.5999714315321768	0.6351169792396018	0.527605366931261	0.5166779904825494	0.5019503363595949	0.3942446450262667	0.43614102290050943	0.4363372051271171	0.6166845052848997	0.6204126672939497	0.5208398488744052	0.5957981949651274	0.539549910763004	0.531285701274933	0.5177309373052967	0.6906320734831257	0.0	0.8835837360258296	0.7854784875752766	0.5917140849008797	0.5556364973675796	0.5954271650207782	0.5866378996106971	0.45037960667768323	0.3324508079136071	0.28814601634962944	0.36371512297053055	0.31828192336906985	0.5358002650947539	0.47397633516001325	0.6354410293344844	0.531613212141701	0.34613243698446583	0.5382099091542802	0.49682336593674303	0.5674580700100795
SEDR_3	0.33961795069687456	0.5706512805063759	0.6060905018528612	0.5221063862441271	0.492928983660602	0.4936323850856736	0.4079153723759428	0.44946000518998996	0.4495765511487355	0.5824353400101079	0.5939215335644221	0.5064280315527279	0.5613069978347452	0.5123520569034161	0.5082374186658158	0.505812040937194	0.7103110274674261	0.8835837360258296	0.0	0.8100848409653887	0.579107210361389	0.5764630890182482	0.5628608530095731	0.5646377590191072	0.4577161923266212	0.33448376811596875	0.28862653301217434	0.35982939137453973	0.3212925105648143	0.5171864434515498	0.49108745235532947	0.5985559338469607	0.4991531614144935	0.339637558536647	0.49975531892505753	0.47326130857910154	0.555860624870817
SEDR_6	0.3015156700309352	0.5510224001862815	0.5867684477508274	0.48413917818184055	0.5142994541911636	0.4683939729462272	0.38433200378669946	0.42400090382488165	0.4229628259788203	0.6130436373580859	0.5655968357686169	0.527512309385872	0.5898969619114675	0.5433620323448046	0.5349089438502919	0.526768438979078	0.8340520008284394	0.7854784875752766	0.8100848409653887	0.0	0.6192529732032442	0.6074093793083664	0.5399466239685387	0.5207232056672472	0.47706887897326367	0.30538389672332933	0.2628240206774236	0.3330841817112857	0.29005453425148003	0.5030228338921608	0.4634779192298427	0.6227871253958112	0.4906762110180847	0.3113938115525255	0.514278457325729	0.49671026830266	0.5833362844918164
SEDR_1	0.3293080860695164	0.5297575302985554	0.5286591484518434	0.39167031658156404	0.4724301878728225	0.38683890789600556	0.26095918729447154	0.29241283376188343	0.28960890766579905	0.694792918680217	0.5593290146690835	0.49362931429871204	0.6508690621506747	0.5992238130816173	0.5721689125209405	0.5801634730686475	0.5446830345851282	0.5917140849008797	0.579107210361389	0.6192529732032442	0.0	0.750404512512811	0.5800863762104668	0.545222412656861	0.3691284691523063	0.22386922251207794	0.19427755727148868	0.2569406676790056	0.21436679125435165	0.35831945172738483	0.3110553216520221	0.7033649847364075	0.5336901187039055	0.31497941728700796	0.5667249829159904	0.5667372787864556	0.6458873282415416
SEDR_4	0.2740473527629226	0.5088052325120306	0.5060050068373573	0.38947455179607426	0.44782569184950216	0.39109209739600104	0.29099608736716576	0.3206290445321478	0.3193284015116637	0.6240071211990245	0.4979672588641066	0.47251974288770876	0.5716536787696866	0.5218495540699616	0.5096178044805485	0.4979150495312052	0.538948554377879	0.5556364973675796	0.5764630890182482	0.6074093793083664	0.750404512512811	0.0	0.4968357341370001	0.45933537642645433	0.384776771214099	0.23986874439209005	0.2054288143359926	0.2746181793095209	0.2303116388500697	0.3700709819667423	0.3390730723510466	0.6433247180657805	0.46570422223080005	0.28653858555010636	0.49137336604329	0.4866199870746596	0.5656371371489788
SpaceFlow_1	0.38432003835800665	0.547154849866733	0.5375237617067355	0.415374726938012	0.4522444900518295	0.4015569110614282	0.2861957764712804	0.2980622202648644	0.3085586620142061	0.6528028886637367	0.664267098410746	0.49973547511870814	0.6577711651966522	0.6103619431278764	0.5940399278774485	0.5779734662350653	0.4804638301352693	0.5954271650207782	0.5628608530095731	0.5399466239685387	0.5800863762104668	0.4968357341370001	0.0	0.7808451433695358	0.394354453714275	0.23447337805125038	0.20256278779595002	0.2750531586318012	0.2246454851572033	0.38844772453619825	0.340605563630864	0.6541137185212981	0.6060419158110232	0.37180296088358655	0.6648672758263066	0.5609538138913963	0.6294345275006274
SpaceFlow_4	0.43787476693304783	0.559865619306686	0.5329744934601643	0.4338491829319731	0.42663421144337316	0.40397175150066034	0.3039362179762042	0.31164488308981086	0.3258614490127423	0.5946379101170205	0.727158100288692	0.5109340076124242	0.6248660466036549	0.5661459426229706	0.5735111901200303	0.569878989583526	0.48651609281508074	0.5866378996106971	0.5646377590191072	0.5207232056672472	0.545222412656861	0.45933537642645433	0.7808451433695358	0.0	0.38440098784929744	0.2475073521844041	0.22288938438635092	0.28905695516443525	0.24523784100551352	0.40360228404483317	0.355547724981445	0.5983432523819063	0.6074637639118476	0.40240519002133834	0.636169495417419	0.5175064557266411	0.5538470271354088
DRSC_4	0.2311382083125405	0.43752577340688154	0.43261185155866977	0.5208946801646125	0.40469265205856453	0.4614019186213167	0.5025155005589492	0.5288778006702061	0.5336966695070581	0.45291954858852485	0.4562857002687506	0.5086335456851738	0.4360721422890411	0.3690498148630837	0.37616613078630917	0.36338414142703757	0.46397182553214456	0.45037960667768323	0.4577161923266212	0.47706887897326367	0.3691284691523063	0.384776771214099	0.394354453714275	0.38440098784929744	0.0	0.4092577201496369	0.39551437942330103	0.4344789741610063	0.39339997420242706	0.5895967374435207	0.5356473441905123	0.4229898417579967	0.3451465246772838	0.234775676505565	0.3989567463751076	0.33253692503446847	0.3920492326046413
seurat_2	0.17354485850169538	0.304140525514596	0.338881644374485	0.5014922303718473	0.3002284465702603	0.44944276301399294	0.68204681862911	0.667194029863858	0.6705452991928569	0.24907127803078358	0.2657372270225949	0.31433795414273397	0.2356169234139148	0.1962024258474562	0.2081433051465322	0.20100814008215223	0.30587373948862145	0.3324508079136071	0.33448376811596875	0.30538389672332933	0.22386922251207794	0.23986874439209005	0.23447337805125038	0.2475073521844041	0.4092577201496369	0.0	0.8519978786758285	0.9229820947838308	0.9329289456031208	0.5848037977402497	0.6231398927026238	0.23745399286434693	0.18890588802975627	0.14056094674862027	0.19037478880125117	0.1788273571727573	0.21316012374853882
seurat_3	0.26216090386501206	0.3024068210779316	0.2985641948029765	0.4862663770848664	0.2632617228807004	0.41080802526343996	0.6709920207594374	0.6400991523371966	0.6360405065743769	0.21754392205387296	0.2606979428582878	0.3033543675864838	0.2038061859191384	0.16668307083936812	0.17653871081404476	0.1686283776006903	0.26411677361040176	0.28814601634962944	0.28862653301217434	0.2628240206774236	0.19427755727148868	0.2054288143359926	0.20256278779595002	0.22288938438635092	0.39551437942330103	0.8519978786758285	0.0	0.8126251187112695	0.8644446220201082	0.5574413905985329	0.5633498883911798	0.20048240385574753	0.2092683388056702	0.13606966673825213	0.18992112667146138	0.1515150133280301	0.1830749620996803
seurat_1	0.2040807206344088	0.3328143908717157	0.3717730494064431	0.5219720605725403	0.33234418887841466	0.4811540412688164	0.7071938616473937	0.6858996944760454	0.692697335746579	0.29134619193710476	0.30299184890471076	0.3401767299106758	0.2729059082293683	0.2347283521203157	0.24202276942175002	0.2381995479259672	0.33295616068380945	0.36371512297053055	0.35982939137453973	0.3330841817112857	0.2569406676790056	0.2746181793095209	0.2750531586318012	0.28905695516443525	0.4344789741610063	0.9229820947838308	0.8126251187112695	0.0	0.877584166610878	0.6039779680780258	0.638951464498972	0.28077734361244927	0.22841300414558488	0.15419597056658726	0.22923959317220624	0.20338161933044624	0.23295314849175439
seurat_4	0.19180462439869178	0.2980205425879156	0.3329990697828196	0.4945601807986692	0.29115625781651494	0.44926855185958187	0.7120296861455258	0.6630640377809538	0.668412151106193	0.23800254513778113	0.2581351117216493	0.30541230091336674	0.22455720684948752	0.18681239635211425	0.19933495918366992	0.19175069852703963	0.29143832185947643	0.31828192336906985	0.3212925105648143	0.29005453425148003	0.21436679125435165	0.2303116388500697	0.2246454851572033	0.24523784100551352	0.39339997420242706	0.9329289456031208	0.8644446220201082	0.877584166610878	0.0	0.5766710677648731	0.628460573372114	0.22414920300541905	0.18757157404246294	0.13855822198808757	0.18283628054600906	0.17313276718910342	0.20132863164539733
BANKSY_2	0.23993090425589267	0.5010140723724126	0.48883517855831077	0.7013871677118386	0.4357602800698037	0.5581917815265576	0.7122136397860973	0.7962460797259551	0.8109484593925572	0.4114929806958463	0.46197944039736516	0.4800839565517947	0.38805943682677607	0.33233922982865	0.3438379295441574	0.3326571933034816	0.4944464470698047	0.5358002650947539	0.5171864434515498	0.5030228338921608	0.35831945172738483	0.3700709819667423	0.38844772453619825	0.40360228404483317	0.5895967374435207	0.5848037977402497	0.5574413905985329	0.6039779680780258	0.5766710677648731	0.0	0.8697452722338312	0.41032688025308944	0.3389752454868627	0.22127593199288947	0.3719573454768756	0.30452978380583035	0.364156036350707
BANKSY_4	0.19414885870265694	0.41558969858362177	0.4459642400066335	0.6612025136032643	0.4010994337526434	0.5696574672531786	0.7720706311223684	0.816364271671802	0.8351202208182871	0.35772039074924733	0.3758736743615346	0.4212451082765676	0.3435995450069049	0.3003138376425863	0.31086471846955444	0.3031881570365311	0.45586067884594716	0.47397633516001325	0.49108745235532947	0.4634779192298427	0.3110553216520221	0.3390730723510466	0.340605563630864	0.355547724981445	0.5356473441905123	0.6231398927026238	0.5633498883911798	0.638951464498972	0.628460573372114	0.8697452722338312	0.0	0.34760065866683865	0.26584075325324213	0.19561081713423864	0.2911450743579217	0.2659751503847407	0.31461778342027713
STAGATE_12	0.34369413745334865	0.5531313000582319	0.5698352736242019	0.43411039066180146	0.5143959818113438	0.4123276645551299	0.28088595259263704	0.31595824847570897	0.3176272733966953	0.7512245635825505	0.6413859193011221	0.5568067288566682	0.704788680105279	0.6417897313382495	0.615247686630678	0.5955421825911426	0.5388117407945281	0.6354410293344844	0.5985559338469607	0.6227871253958112	0.7033649847364075	0.6433247180657805	0.6541137185212981	0.5983432523819063	0.4229898417579967	0.23745399286434693	0.20048240385574753	0.28077734361244927	0.22414920300541905	0.41032688025308944	0.34760065866683865	0.0	0.5615447843148805	0.3573453338403069	0.6476556314565625	0.6023169479198752	0.73278370422863
STAGATE_11	0.47004461162122047	0.5358419811971482	0.4656551860963963	0.3840560275499249	0.3912123165724632	0.341857820505444	0.24308552974093978	0.2709935625256525	0.2727836610154277	0.5457829469276197	0.627978007253941	0.4858962935597569	0.545433232845944	0.5373396623348256	0.4880060113333324	0.48267260056521916	0.46969730734473586	0.531613212141701	0.4991531614144935	0.4906762110180847	0.5336901187039055	0.46570422223080005	0.6060419158110232	0.6074637639118476	0.3451465246772838	0.18890588802975627	0.2092683388056702	0.22841300414558488	0.18757157404246294	0.3389752454868627	0.26584075325324213	0.5615447843148805	0.0	0.42252651425391213	0.6873776634217296	0.45054591006934114	0.5008359640192025
STAGATE_3	0.3206835575771401	0.3114771476670836	0.29598261588773367	0.2481762873575694	0.24091238226763717	0.2295424767987841	0.16710577255879505	0.1796890314778013	0.18019206860096176	0.371320074441943	0.4223718831756423	0.31714328986784907	0.35909830805128173	0.37558562777910764	0.3663252974380259	0.3332309171816951	0.31446182310428855	0.34613243698446583	0.339637558536647	0.3113938115525255	0.31497941728700796	0.28653858555010636	0.37180296088358655	0.40240519002133834	0.234775676505565	0.14056094674862027	0.13606966673825213	0.15419597056658726	0.13855822198808757	0.22127593199288947	0.19561081713423864	0.3573453338403069	0.42252651425391213	0.0	0.38766251448461997	0.3730231606298056	0.31712733659614417
STAGATE_10	0.43901738783104927	0.5557269951705859	0.4743493905438572	0.4150633712874812	0.44532791872694566	0.35447811454516304	0.25280787465462135	0.2952778076441839	0.2982017938360226	0.6195386251204172	0.6815856615926221	0.5746279446730205	0.6481693883469553	0.5621061284227276	0.5529044484520452	0.5293776664130061	0.5129060411436102	0.5382099091542802	0.49975531892505753	0.514278457325729	0.5667249829159904	0.49137336604329	0.6648672758263066	0.636169495417419	0.3989567463751076	0.19037478880125117	0.18992112667146138	0.22923959317220624	0.18283628054600906	0.3719573454768756	0.2911450743579217	0.6476556314565625	0.6873776634217296	0.38766251448461997	0.0	0.5155731660350176	0.6100638556136463
STAGATE_1	0.29279238949621433	0.40628215996106304	0.42016973003305486	0.31108268382272514	0.37168030791714307	0.3032603726684086	0.21137889558327808	0.23131611179196868	0.22992558037289393	0.585633917786689	0.5056437991989188	0.4201094708901312	0.5573319449291492	0.5773489149930889	0.5794690472427115	0.5328903996490303	0.44355916573544696	0.49682336593674303	0.47326130857910154	0.49671026830266	0.5667372787864556	0.4866199870746596	0.5609538138913963	0.5175064557266411	0.33253692503446847	0.1788273571727573	0.1515150133280301	0.20338161933044624	0.17313276718910342	0.30452978380583035	0.2659751503847407	0.6023169479198752	0.45054591006934114	0.3730231606298056	0.5155731660350176	0.0	0.582473749749619
STAGATE_13	0.2963051161729413	0.5187613126168557	0.5088262661536729	0.3844760498076295	0.45942224017105393	0.36670164073956446	0.2556752816099599	0.28433713427065893	0.28714707647218696	0.6554000888991619	0.5828843850241968	0.5118830037085079	0.6724726887313244	0.5771392905702847	0.5619826751755933	0.5633346957826413	0.5066740674805055	0.5674580700100795	0.555860624870817	0.5833362844918164	0.6458873282415416	0.5656371371489788	0.6294345275006274	0.5538470271354088	0.3920492326046413	0.21316012374853882	0.1830749620996803	0.23295314849175439	0.20132863164539733	0.364156036350707	0.31461778342027713	0.73278370422863	0.5008359640192025	0.31712733659614417	0.6100638556136463	0.582473749749619	0.0
