	label	spaGCN_12	spaGCN_10	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	CellCharter_2	CellCharter_3	CellCharter_1	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	STAGATE_12	STAGATE_11	STAGATE_10	STAGATE_13
label	0.0	0.12597497681761669	0.12611674973608983	0.10745115632620551	0.11767368595970086	0.12604120061428692	0.12535445107491364	0.09559676042712807	0.10619692975705951	0.08718216210171606	0.11047383374115469	0.0902222708465098	0.10785603197001295	0.07696755749380883	0.08802882347713488	0.08598456294236545	0.09458168136330915	0.07348576707236303	0.06835584835397095	0.06264929458656704	0.07243309795330981
spaGCN_12	0.12597497681761669	0.0	0.9922798591494274	0.2809678469380037	0.2680115441861165	0.9577378475639531	0.40681085632530917	0.16591127497907643	0.14734577964298032	0.15847608789511725	0.19602719531504237	0.18723573665540533	0.1959084574111476	0.18394851871417336	0.166246311258873	0.1762589029351238	0.16905717285519506	0.1360407353966237	0.16015565745668836	0.14396689260177215	0.13039086990064944
spaGCN_10	0.12611674973608983	0.9922798591494274	0.0	0.2810301252794458	0.26850050877007614	0.9525351186962148	0.40756060048390114	0.16602722477423185	0.14747618365472595	0.15858976363265032	0.19587979864406793	0.18694802340741495	0.1957767298135619	0.18386603114948985	0.16627109672990958	0.17622358317415435	0.16906591968629808	0.13583597748291412	0.15989338149564147	0.14377859486400596	0.13018402124889275
spaGCN_4	0.10745115632620551	0.2809678469380037	0.2810301252794458	0.0	0.35944027838967224	0.2833872800221833	0.2673916594621658	0.18302597193472964	0.18085257193247517	0.20250599600988434	0.28180424488777117	0.24494009180656587	0.2827704224303426	0.2739619766866837	0.24687081103520628	0.25442052088549677	0.26009450713023624	0.254863171381945	0.2771543285795478	0.25324183328449584	0.25744332751408705
spaGCN_7	0.11767368595970086	0.2680115441861165	0.26850050877007614	0.35944027838967224	0.0	0.2684112986849895	0.4259676746221907	0.32133577614521	0.31850394068249577	0.3385677708357958	0.238047030035968	0.17489294164911914	0.2334802872522604	0.2680679808314398	0.2410004646645225	0.24291582768655207	0.253333779807617	0.14608272347347856	0.15449583969632993	0.1423790655542453	0.14804520499866508
spaGCN_14	0.12604120061428692	0.9577378475639531	0.9525351186962148	0.2833872800221833	0.2684112986849895	0.0	0.4003626415311741	0.16688736766691345	0.1475921338036964	0.1589639585862282	0.19674335481941413	0.18804146001763403	0.19686134446810985	0.18469544813616554	0.16657700821786553	0.17670364320234647	0.16955831628301565	0.13698301022461706	0.16135907745006597	0.14487137409481327	0.13142349696250522
spaGCN_13	0.12535445107491364	0.40681085632530917	0.40756060048390114	0.2673916594621658	0.4259676746221907	0.4003626415311741	0.0	0.2885193792462758	0.2649491004131121	0.27600354532042354	0.20127398340024155	0.15399331916958536	0.19634151822560814	0.19765584991156634	0.18832262296352362	0.1944772281830827	0.19629150490517244	0.10613421800712293	0.12058653200076036	0.11064968138115179	0.10280003386236027
scanpy_2	0.09559676042712807	0.16591127497907643	0.16602722477423185	0.18302597193472964	0.32133577614521	0.16688736766691345	0.2885193792462758	0.0	0.5741808384794869	0.6722419098617789	0.1908486371094662	0.13318518521198366	0.1970586146536593	0.23188785065160541	0.2399194629099927	0.23290440389964973	0.2327922311533734	0.08797861312631831	0.09762163577572631	0.08953516811889063	0.08885280887150546
scanpy_3	0.10619692975705951	0.14734577964298032	0.14747618365472595	0.18085257193247517	0.31850394068249577	0.1475921338036964	0.2649491004131121	0.5741808384794869	0.0	0.7500580403894519	0.1855307610706855	0.12683328003985844	0.18520134045091133	0.202129841552701	0.21847704939964036	0.20593847930144515	0.21181587081330033	0.08745890465016685	0.096619703306622	0.09055503522272641	0.09018827646934736
scanpy_1	0.08718216210171606	0.15847608789511725	0.15858976363265032	0.20250599600988434	0.3385677708357958	0.1589639585862282	0.27600354532042354	0.6722419098617789	0.7500580403894519	0.0	0.20526380302922387	0.14217049173806817	0.2121380072204646	0.23692510355317273	0.25928453923810424	0.2380918850393526	0.24939598147771408	0.09675962685167318	0.11104957932370078	0.09910251594186416	0.09853835995257369
CellCharter_2	0.11047383374115469	0.19602719531504237	0.19587979864406793	0.28180424488777117	0.238047030035968	0.19674335481941413	0.20127398340024155	0.1908486371094662	0.1855307610706855	0.20526380302922387	0.0	0.535736670754415	0.7102857104347686	0.33447537630342544	0.3534662889853497	0.31283366106859045	0.3666803829040076	0.3354270066076419	0.3541535707804514	0.3732330604072171	0.3339119569535258
CellCharter_3	0.0902222708465098	0.18723573665540533	0.18694802340741495	0.24494009180656587	0.17489294164911914	0.18804146001763403	0.15399331916958536	0.13318518521198366	0.12683328003985844	0.14217049173806817	0.535736670754415	0.0	0.5376723101776095	0.3358667742918944	0.306571743765421	0.3063990119795067	0.28779305203271976	0.34865271241868395	0.41733612734115283	0.3858875581620951	0.36819485987514444
CellCharter_1	0.10785603197001295	0.1959084574111476	0.1957767298135619	0.2827704224303426	0.2334802872522604	0.19686134446810985	0.19634151822560814	0.1970586146536593	0.18520134045091133	0.2121380072204646	0.7102857104347686	0.5376723101776095	0.0	0.3293796985505159	0.3384788706239527	0.32459285083571715	0.3393035421060991	0.3254048742265382	0.3630054915551185	0.34831610928131973	0.3278300902973599
SpaceFlow_2	0.07696755749380883	0.18394851871417336	0.18386603114948985	0.2739619766866837	0.2680679808314398	0.18469544813616554	0.19765584991156634	0.23188785065160541	0.202129841552701	0.23692510355317273	0.33447537630342544	0.3358667742918944	0.3293796985505159	0.0	0.4822277357636878	0.6581644447780284	0.5581147898929639	0.25568335452423896	0.2992706621483868	0.27415766442935124	0.2606312846353532
SpaceFlow_3	0.08802882347713488	0.166246311258873	0.16627109672990958	0.24687081103520628	0.2410004646645225	0.16657700821786553	0.18832262296352362	0.2399194629099927	0.21847704939964036	0.25928453923810424	0.3534662889853497	0.306571743765421	0.3384788706239527	0.4822277357636878	0.0	0.4511311747326135	0.6781839629751633	0.24552052456395482	0.2753544386721787	0.23743929684959258	0.25423317325487504
SpaceFlow_1	0.08598456294236545	0.1762589029351238	0.17622358317415435	0.25442052088549677	0.24291582768655207	0.17670364320234647	0.1944772281830827	0.23290440389964973	0.20593847930144515	0.2380918850393526	0.31283366106859045	0.3063990119795067	0.32459285083571715	0.6581644447780284	0.4511311747326135	0.0	0.5080511872608533	0.23845667677613136	0.26468932796766864	0.26150750379308574	0.24532633041969393
SpaceFlow_4	0.09458168136330915	0.16905717285519506	0.16906591968629808	0.26009450713023624	0.253333779807617	0.16955831628301565	0.19629150490517244	0.2327922311533734	0.21181587081330033	0.24939598147771408	0.3666803829040076	0.28779305203271976	0.3393035421060991	0.5581147898929639	0.6781839629751633	0.5080511872608533	0.0	0.2560127196733093	0.27818437182743966	0.25311932873086446	0.2660742428450134
STAGATE_12	0.07348576707236303	0.1360407353966237	0.13583597748291412	0.254863171381945	0.14608272347347856	0.13698301022461706	0.10613421800712293	0.08797861312631831	0.08745890465016685	0.09675962685167318	0.3354270066076419	0.34865271241868395	0.3254048742265382	0.25568335452423896	0.24552052456395482	0.23845667677613136	0.2560127196733093	0.0	0.4541785623765734	0.4715658533049543	0.658798648865688
STAGATE_11	0.06835584835397095	0.16015565745668836	0.15989338149564147	0.2771543285795478	0.15449583969632993	0.16135907745006597	0.12058653200076036	0.09762163577572631	0.096619703306622	0.11104957932370078	0.3541535707804514	0.41733612734115283	0.3630054915551185	0.2992706621483868	0.2753544386721787	0.26468932796766864	0.27818437182743966	0.4541785623765734	0.0	0.45053294135152283	0.48415707293803495
STAGATE_10	0.06264929458656704	0.14396689260177215	0.14377859486400596	0.25324183328449584	0.1423790655542453	0.14487137409481327	0.11064968138115179	0.08953516811889063	0.09055503522272641	0.09910251594186416	0.3732330604072171	0.3858875581620951	0.34831610928131973	0.27415766442935124	0.23743929684959258	0.26150750379308574	0.25311932873086446	0.4715658533049543	0.45053294135152283	0.0	0.437116725294089
STAGATE_13	0.07243309795330981	0.13039086990064944	0.13018402124889275	0.25744332751408705	0.14804520499866508	0.13142349696250522	0.10280003386236027	0.08885280887150546	0.09018827646934736	0.09853835995257369	0.3339119569535258	0.36819485987514444	0.3278300902973599	0.2606312846353532	0.25423317325487504	0.24532633041969393	0.2660742428450134	0.658798648865688	0.48415707293803495	0.437116725294089	0.0
