	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	labelDRSC	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
label	0.0	0.21330117024167597	0.16665540893607375	0.16318158461397386	0.16699221095951627	0.1470627607763348	0.16711337429192363	0.23113573847309854	0.16716524746012007	0.39716627325830106	0.38443791130756216	0.33969428265815704	0.3976529558030196	0.42524285312395416	0.43073951996822	0.45577258426081263	0.3602252350016901	0.28828311776190596	0.4057774531915707	0.3003485718986692	0.32035389271856335	0.3567348299760672	0.4872132720048929	0.44978510430748525	0.1759612010388175	0.1973760964167818	0.19739443713304816	0.21662633543443166	0.21799180857415312	0.17863009589333528	0.29225510513643455	0.3991623923941803	0.36897630938866904	0.390328845837224	0.4239118071029273	0.334549294993581	0.35378803488575616
spaGCN_6	0.21330117024167597	0.0	0.49188404109428957	0.6545498438840041	0.52253262495478	0.4660503769784641	0.36613949792837297	0.3815498047182548	0.3664222046156145	0.4335052018584645	0.436405247305195	0.46063465233454	0.4471333950527992	0.4101978495141092	0.3986808513432906	0.41207390814499967	0.4310287706525713	0.42130867867897254	0.34248783653448145	0.4165696495091788	0.42519564110364355	0.41090743205101865	0.3717124337027205	0.4090096602018652	0.43078899362558887	0.3450186736967649	0.3447556756077411	0.36773377243103805	0.3691491121831332	0.4518372660870499	0.4112766246182938	0.4115659447668584	0.35145193606779024	0.3122737673163185	0.35017828765948245	0.3218113154815929	0.4072762649177685
spaGCN_4	0.16665540893607375	0.49188404109428957	0.0	0.6092478142374153	0.45949644253801947	0.5704523728276281	0.47124294289855845	0.48489102400939554	0.47431915374480826	0.2968277650412174	0.30354156481167033	0.3339086718968889	0.3059896013743223	0.297059337847903	0.27564137454242255	0.3015428944651862	0.3317350731502049	0.30169449865848963	0.3299104965966261	0.28415434666369305	0.2727636798748467	0.2719403661118223	0.2637683706679037	0.3032677863864363	0.5172810946116517	0.4109875218123006	0.40987584751587425	0.4314474994778962	0.43341016994266435	0.4217387537820718	0.3915960715572043	0.30448590074311327	0.28502491265260566	0.2188641550437748	0.28359713264657527	0.23807732307485555	0.26638332706417533
spaGCN_7	0.16318158461397386	0.6545498438840041	0.6092478142374153	0.0	0.4920386651506651	0.6089621178784039	0.5394511821851401	0.5552206619744846	0.5426964705170905	0.29642815003195244	0.3060738613517643	0.3447493243895107	0.3050317804975516	0.2862777463746099	0.2689588860751226	0.2866312823189153	0.31879681871906185	0.3482820467766667	0.27898309609000255	0.3028242694946366	0.2936081070740569	0.29891887239033665	0.25060057885985043	0.28432081269041604	0.51449248720743	0.4140362188775939	0.4153127788860745	0.4421668448106103	0.4444832577029325	0.4277801129237936	0.3982369241107851	0.29040463957360224	0.2407313199268544	0.207455346191044	0.23189076622467975	0.2252120717263715	0.27781457199592613
spaGCN_14	0.16699221095951627	0.52253262495478	0.45949644253801947	0.4920386651506651	0.0	0.6529214388979698	0.4853199006954445	0.47095158974278356	0.48841325831310173	0.29656282492233693	0.3015949167047987	0.3358105515219255	0.3123989029980493	0.2758037042213344	0.2646750001785152	0.2781653225715054	0.3425492858807257	0.3619067386933	0.23588551656294954	0.2850168372027683	0.26308526573799346	0.26379745734952287	0.25432696205771743	0.28021627562058554	0.38476063497399166	0.3514347992097734	0.35095853526604015	0.41329955598228624	0.4137409594988827	0.4547256180635349	0.4124840664897309	0.26607473051123615	0.2305937454986037	0.21318407403432227	0.2262465997437961	0.24959934845333007	0.2532814728950651
spaGCN_13	0.1470627607763348	0.4660503769784641	0.5704523728276281	0.6089621178784039	0.6529214388979698	0.0	0.6173170109505126	0.553790352306959	0.6213566584145069	0.2768798887389623	0.27401760627853355	0.31884638787375363	0.2883557820472674	0.2515934746301347	0.23911057553341025	0.25218462885434684	0.3322195185099397	0.35602761648252285	0.24394210553938336	0.2671342167696358	0.23314301731743273	0.2405566757545755	0.24025083795248395	0.25162812310687643	0.5034281865052606	0.5036802937970364	0.5030213012667363	0.575362008144744	0.5758389663340238	0.561609252233796	0.5086222494094143	0.23990744088705185	0.22130240542450672	0.19223835408682244	0.20724100779673865	0.19567082141674574	0.2305217990091941
scanpy_2	0.16711337429192363	0.36613949792837297	0.47124294289855845	0.5394511821851401	0.4853199006954445	0.6173170109505126	0.0	0.858280214065874	0.9758911197264386	0.20714597077559208	0.19627986473191264	0.2572835238171669	0.2068864605447695	0.19775214349710668	0.1819160819473141	0.19674004290150351	0.30661762304368423	0.2844185506255961	0.20864708898121861	0.20097005195185347	0.17303282585599938	0.20515727809770098	0.21449087337289294	0.18797746389439599	0.5861029645992782	0.6797383409295891	0.6811494902983619	0.7695063591072534	0.7695497931127304	0.609225188342005	0.6326430423268312	0.19236913190248942	0.16228672076371603	0.14582377537460636	0.16106191652719345	0.13799091592963372	0.17223098233693765
scanpy_3	0.23113573847309854	0.3815498047182548	0.48489102400939554	0.5552206619744846	0.47095158974278356	0.553790352306959	0.858280214065874	0.0	0.8629096324818027	0.22467978465298052	0.2144606321238995	0.2686831261032399	0.22176567182180804	0.21769693550732044	0.20433163938511853	0.21607723221351435	0.2750507787185844	0.2466834659423506	0.26892531410600723	0.2124929603426755	0.19421721844207318	0.20797407216882	0.22052307780656488	0.21128221174392578	0.5931041742002932	0.6556617476821143	0.655953786338288	0.696233057811254	0.6960822853703377	0.5784903122806511	0.6581428545734291	0.21560178089889143	0.1747485756329285	0.15751627162799428	0.19321447717148493	0.15666216701977637	0.1903168052144104
scanpy_1	0.16716524746012007	0.3664222046156145	0.47431915374480826	0.5426964705170905	0.48841325831310173	0.6213566584145069	0.9758911197264386	0.8629096324818027	0.0	0.20692462764947198	0.19589923990249672	0.2568619939395684	0.20647515085393786	0.1976764260126539	0.18177332452854006	0.196687860606884	0.30740379785439814	0.28482093329403574	0.20816826527557333	0.20041455656219476	0.17289806145047149	0.20499141473826613	0.21451903452275528	0.1874076984232915	0.5872931491258782	0.6742098690965597	0.6742567072521374	0.7623961404090193	0.7628911910635418	0.6120574359842371	0.6347609312693479	0.19214043478080536	0.16151242920562764	0.14567298022535083	0.16088372674654108	0.13746566535357468	0.171376191422504
bass_5	0.39716627325830106	0.4335052018584645	0.2968277650412174	0.29642815003195244	0.29656282492233693	0.2768798887389623	0.20714597077559208	0.22467978465298052	0.20692462764947198	0.0	0.776313975075972	0.6913149278852482	0.8270245044028194	0.6923835112949314	0.691581322032949	0.7278651997357072	0.5137643349657682	0.44116550539777477	0.3731299843050274	0.5747136971841754	0.6436184214829543	0.6172163621278026	0.6582791934088535	0.7303816231855137	0.3153297606443294	0.22424606522606214	0.22514785750411093	0.2260328428486241	0.2272853855441018	0.30020211000907626	0.26923953989148736	0.676271778950481	0.5698603552833534	0.5555009982562548	0.6074372790911231	0.5749691949474889	0.6796385757162393
bass_2	0.38443791130756216	0.436405247305195	0.30354156481167033	0.3060738613517643	0.3015949167047987	0.27401760627853355	0.19627986473191264	0.2144606321238995	0.19589923990249672	0.776313975075972	0.0	0.7580600882103565	0.8450560710282864	0.7071861195966247	0.7187063525203236	0.7223998261853795	0.4949631980873876	0.41303778339555736	0.3413076455242565	0.5513754953834923	0.6372781094758118	0.6135545056880112	0.6248512868461393	0.6969352779991453	0.318694135040551	0.21155623245721875	0.21237814870341848	0.22055197926533912	0.22195773607723446	0.2800145773439177	0.263841238199564	0.6444093917682475	0.5358138616498754	0.528455358242941	0.5713480099843303	0.543047091342571	0.6379734591141812
bass_3	0.33969428265815704	0.46063465233454	0.3339086718968889	0.3447493243895107	0.3358105515219255	0.31884638787375363	0.2572835238171669	0.2686831261032399	0.2568619939395684	0.6913149278852482	0.7580600882103565	0.0	0.7929796869334931	0.5908798002185469	0.6143592902358488	0.6252868449397061	0.453897034583131	0.40570585576790397	0.3351040342637132	0.5217757199500763	0.5712137719048512	0.5574623639610121	0.5853681518359731	0.6077213909721969	0.34973976111270927	0.27442589220513985	0.2754948950631008	0.2724764529841047	0.27369681116096256	0.3267466796764028	0.30843926152572954	0.5735644140683746	0.4996826883413911	0.47305524055023923	0.49597964661226207	0.46283907219414905	0.5676228994026155
bass_4	0.3976529558030196	0.4471333950527992	0.3059896013743223	0.3050317804975516	0.3123989029980493	0.2883557820472674	0.2068864605447695	0.22176567182180804	0.20647515085393786	0.8270245044028194	0.8450560710282864	0.7929796869334931	0.0	0.6751482447731639	0.6889854985857709	0.7108984249122196	0.5053344223279823	0.4372520716394773	0.37201924045476503	0.57799939818861	0.6680676996502883	0.6099976105420704	0.6685530229154927	0.7133543428028359	0.31565845270091697	0.22870551898243105	0.22955305141341326	0.23324508862339172	0.23457189733222825	0.2979222788757791	0.2720663263618211	0.6581567390010267	0.5777119294097843	0.5509984709650984	0.5896698017099259	0.5495575483400961	0.66467256328512
CellCharter_2	0.42524285312395416	0.4101978495141092	0.297059337847903	0.2862777463746099	0.2758037042213344	0.2515934746301347	0.19775214349710668	0.21769693550732044	0.1976764260126539	0.6923835112949314	0.7071861195966247	0.5908798002185469	0.6751482447731639	0.0	0.8605582135854797	0.9138672256315918	0.5047044545707995	0.3953279408173986	0.3623744165739665	0.5291398345506262	0.6259171093920793	0.6219099581199475	0.699311567262696	0.7922376168644079	0.29704046663812805	0.22314046642812607	0.22361970534687992	0.22201005523131825	0.22342182604899122	0.2878120834208801	0.271896916257498	0.6979619727325669	0.5943304396628103	0.5938623452185932	0.6577823456652988	0.5937299543978469	0.6536568853499835
CellCharter_3	0.43073951996822	0.3986808513432906	0.27564137454242255	0.2689588860751226	0.2646750001785152	0.23911057553341025	0.1819160819473141	0.20433163938511853	0.18177332452854006	0.691581322032949	0.7187063525203236	0.6143592902358488	0.6889854985857709	0.8605582135854797	0.0	0.8526926184137738	0.4978517055776535	0.39133201446666166	0.3352107446103277	0.528954295106174	0.6385198523498414	0.5989326264681231	0.6919316852781999	0.7809302139488082	0.28913725297669574	0.1988765354947646	0.19927373165762008	0.20687511270465592	0.2083010285367422	0.27322421916296963	0.2560565513563446	0.6922192763906414	0.6007337801244477	0.6005938219183431	0.643832520087986	0.5947446403702031	0.6448822598834991
CellCharter_1	0.45577258426081263	0.41207390814499967	0.3015428944651862	0.2866312823189153	0.2781653225715054	0.25218462885434684	0.19674004290150351	0.21607723221351435	0.196687860606884	0.7278651997357072	0.7223998261853795	0.6252868449397061	0.7108984249122196	0.9138672256315918	0.8526926184137738	0.0	0.5287424258063173	0.42303695157101784	0.36422142305574196	0.5608048939869481	0.6586896105431089	0.6601222058622843	0.730379109911374	0.8262209919493319	0.3043733377196541	0.22140545645504597	0.22192485898837477	0.22074592391516584	0.2221932814852753	0.2860507611505753	0.2706930967427091	0.7356667407134333	0.6311933523375592	0.6269989259168159	0.7018980208286738	0.6240381416721642	0.6948048791722523
SEDR_5	0.3602252350016901	0.4310287706525713	0.3317350731502049	0.31879681871906185	0.3425492858807257	0.3322195185099397	0.30661762304368423	0.2750507787185844	0.30740379785439814	0.5137643349657682	0.4949631980873876	0.453897034583131	0.5053344223279823	0.5047044545707995	0.4978517055776535	0.5287424258063173	0.0	0.6017671150170112	0.4370926772668579	0.5026430161684874	0.47245470447351184	0.42255319948497627	0.49926293887167766	0.5430641507988518	0.35472471499875463	0.283946350080965	0.2834911671373426	0.3190988252656714	0.3218482188792525	0.3942228399420856	0.3831228362081297	0.5177250049842644	0.4401646448784697	0.3989130383485613	0.47986408947355325	0.4350538547128955	0.4725114156620918
SEDR_2	0.28828311776190596	0.42130867867897254	0.30169449865848963	0.3482820467766667	0.3619067386933	0.35602761648252285	0.2844185506255961	0.2466834659423506	0.28482093329403574	0.44116550539777477	0.41303778339555736	0.40570585576790397	0.4372520716394773	0.3953279408173986	0.39133201446666166	0.42303695157101784	0.6017671150170112	0.0	0.5758825710600487	0.5870800856446721	0.39983319039718596	0.3618732141045566	0.381809174702175	0.4363805549736183	0.29565570845721306	0.2633350162795832	0.26363815063075463	0.26186783226574917	0.2628176298485476	0.34015274218631564	0.32192949710420227	0.41389073173942276	0.38768489173087856	0.31684838085733824	0.3873492233306169	0.3362991182222361	0.4075775746714667
SEDR_3	0.4057774531915707	0.34248783653448145	0.3299104965966261	0.27898309609000255	0.23588551656294954	0.24394210553938336	0.20864708898121861	0.26892531410600723	0.20816826527557333	0.3731299843050274	0.3413076455242565	0.3351040342637132	0.37201924045476503	0.3623744165739665	0.3352107446103277	0.36422142305574196	0.4370926772668579	0.5758825710600487	0.0	0.46915036961862183	0.3157408960382271	0.3051785493839255	0.4048983661778206	0.37418173183620607	0.20481091853297198	0.2827747846171883	0.2826302610172125	0.24888973147681134	0.24917061354788347	0.26812307115321654	0.3519766191706384	0.36017816320151685	0.44228994165129115	0.25979557911518464	0.40301015074521246	0.2670661691508974	0.3152847442650947
SEDR_6	0.3003485718986692	0.4165696495091788	0.28415434666369305	0.3028242694946366	0.2850168372027683	0.2671342167696358	0.20097005195185347	0.2124929603426755	0.20041455656219476	0.5747136971841754	0.5513754953834923	0.5217757199500763	0.57799939818861	0.5291398345506262	0.528954295106174	0.5608048939869481	0.5026430161684874	0.5870800856446721	0.46915036961862183	0.0	0.509997469712356	0.48493504408559174	0.4984350367557199	0.5645100847557144	0.2705761433839371	0.24441225290330504	0.24504621854543807	0.21423304994646533	0.21481712063096706	0.27319014367011324	0.24874811912361822	0.5282108758110042	0.5220202512274573	0.4399562920576692	0.47153269061191333	0.45469148747408417	0.512361589725346
SEDR_1	0.32035389271856335	0.42519564110364355	0.2727636798748467	0.2936081070740569	0.26308526573799346	0.23314301731743273	0.17303282585599938	0.19421721844207318	0.17289806145047149	0.6436184214829543	0.6372781094758118	0.5712137719048512	0.6680676996502883	0.6259171093920793	0.6385198523498414	0.6586896105431089	0.47245470447351184	0.39983319039718596	0.3157408960382271	0.509997469712356	0.0	0.594851346551872	0.5599461505900887	0.6739625474461732	0.27911387400094895	0.17551868246345548	0.17598631210283425	0.17863203061577004	0.17980822700112908	0.24337204903818083	0.22252708470072438	0.6377443267489343	0.5105423459795724	0.49543737248260683	0.5747212409695627	0.5775890389440771	0.7250948287370791
SEDR_4	0.3567348299760672	0.41090743205101865	0.2719403661118223	0.29891887239033665	0.26379745734952287	0.2405566757545755	0.20515727809770098	0.20797407216882	0.20499141473826613	0.6172163621278026	0.6135545056880112	0.5574623639610121	0.6099976105420704	0.6219099581199475	0.5989326264681231	0.6601222058622843	0.42255319948497627	0.3618732141045566	0.3051785493839255	0.48493504408559174	0.594851346551872	0.0	0.6247667470889481	0.6450410945319065	0.273935459877311	0.20999067816518968	0.2105929685718475	0.21279463819173247	0.21387801553198152	0.25447151487762387	0.23488736524436166	0.5967132796843766	0.4970081057593655	0.4934434121911204	0.5304390013208122	0.47551382915358925	0.6199055204102161
SpaceFlow_1	0.4872132720048929	0.3717124337027205	0.2637683706679037	0.25060057885985043	0.25432696205771743	0.24025083795248395	0.21449087337289294	0.22052307780656488	0.21451903452275528	0.6582791934088535	0.6248512868461393	0.5853681518359731	0.6685530229154927	0.699311567262696	0.6919316852781999	0.730379109911374	0.49926293887167766	0.381809174702175	0.4048983661778206	0.4984350367557199	0.5599461505900887	0.6247667470889481	0.0	0.779356927339633	0.25657843953370313	0.2494953709624791	0.25017099647369084	0.25055096784947495	0.25203768647124797	0.2767394253109393	0.28826191474835344	0.6524292426313325	0.5922009939697601	0.5547888967631551	0.6239191388183909	0.5386338093813349	0.6016927985731985
SpaceFlow_4	0.44978510430748525	0.4090096602018652	0.3032677863864363	0.28432081269041604	0.28021627562058554	0.25162812310687643	0.18797746389439599	0.21128221174392578	0.1874076984232915	0.7303816231855137	0.6969352779991453	0.6077213909721969	0.7133543428028359	0.7922376168644079	0.7809302139488082	0.8262209919493319	0.5430641507988518	0.4363805549736183	0.37418173183620607	0.5645100847557144	0.6739625474461732	0.6450410945319065	0.779356927339633	0.0	0.2884027887005858	0.21475917719231563	0.21548793735905789	0.21533949172328884	0.21662621880220023	0.2878390596733454	0.27090730312028943	0.7782636107086396	0.6606217458150277	0.6416387028496257	0.725299398209013	0.6405256485999371	0.7255759480985372
labelDRSC	0.1759612010388175	0.43078899362558887	0.5172810946116517	0.51449248720743	0.38476063497399166	0.5034281865052606	0.5861029645992782	0.5931041742002932	0.5872931491258782	0.3153297606443294	0.318694135040551	0.34973976111270927	0.31565845270091697	0.29704046663812805	0.28913725297669574	0.3043733377196541	0.35472471499875463	0.29565570845721306	0.20481091853297198	0.2705761433839371	0.27911387400094895	0.273935459877311	0.25657843953370313	0.2884027887005858	0.0	0.5124719544680909	0.5114022443299735	0.5337775406966473	0.5397503651580801	0.5206152683548407	0.4773510543209771	0.28569126207417134	0.2358690920815753	0.22233361172614916	0.25056392324521415	0.2240749505612672	0.2763275406223014
seurat_2	0.1973760964167818	0.3450186736967649	0.4109875218123006	0.4140362188775939	0.3514347992097734	0.5036802937970364	0.6797383409295891	0.6556617476821143	0.6742098690965597	0.22424606522606214	0.21155623245721875	0.27442589220513985	0.22870551898243105	0.22314046642812607	0.1988765354947646	0.22140545645504597	0.283946350080965	0.2633350162795832	0.2827747846171883	0.24441225290330504	0.17551868246345548	0.20999067816518968	0.2494953709624791	0.21475917719231563	0.5124719544680909	0.0	0.9926180790792222	0.8935867090441294	0.8943206187233365	0.6460116282400935	0.665554234588106	0.21797751990783407	0.20588430728758267	0.1634181653963135	0.18931886795956446	0.15931468105106597	0.17723921478979093
seurat_3	0.19739443713304816	0.3447556756077411	0.40987584751587425	0.4153127788860745	0.35095853526604015	0.5030213012667363	0.6811494902983619	0.655953786338288	0.6742567072521374	0.22514785750411093	0.21237814870341848	0.2754948950631008	0.22955305141341326	0.22361970534687992	0.19927373165762008	0.22192485898837477	0.2834911671373426	0.26363815063075463	0.2826302610172125	0.24504621854543807	0.17598631210283425	0.2105929685718475	0.25017099647369084	0.21548793735905789	0.5114022443299735	0.9926180790792222	0.0	0.8972651561443992	0.8973122271434412	0.6418422861377872	0.6625026541328626	0.21827209919438165	0.2064190303780068	0.16384287803808786	0.18972712674885325	0.1599405261229714	0.17788418071837658
seurat_1	0.21662633543443166	0.36773377243103805	0.4314474994778962	0.4421668448106103	0.41329955598228624	0.575362008144744	0.7695063591072534	0.696233057811254	0.7623961404090193	0.2260328428486241	0.22055197926533912	0.2724764529841047	0.23324508862339172	0.22201005523131825	0.20687511270465592	0.22074592391516584	0.3190988252656714	0.26186783226574917	0.24888973147681134	0.21423304994646533	0.17863203061577004	0.21279463819173247	0.25055096784947495	0.21533949172328884	0.5337775406966473	0.8935867090441294	0.8972651561443992	0.0	0.9885336672119677	0.7078292966561714	0.7512320585348482	0.21370335987870603	0.19349823050441678	0.166208031445674	0.19097080636247743	0.15805719376437655	0.1765238012314504
seurat_4	0.21799180857415312	0.3691491121831332	0.43341016994266435	0.4444832577029325	0.4137409594988827	0.5758389663340238	0.7695497931127304	0.6960822853703377	0.7628911910635418	0.2272853855441018	0.22195773607723446	0.27369681116096256	0.23457189733222825	0.22342182604899122	0.2083010285367422	0.2221932814852753	0.3218482188792525	0.2628176298485476	0.24917061354788347	0.21481712063096706	0.17980822700112908	0.21387801553198152	0.25203768647124797	0.21662621880220023	0.5397503651580801	0.8943206187233365	0.8973122271434412	0.9885336672119677	0.0	0.7073580218253036	0.7509888525794142	0.21490108030827507	0.1943582292350848	0.16732018521710101	0.19228316248689886	0.1590051008369065	0.17747828782195182
BANKSY_2	0.17863009589333528	0.4518372660870499	0.4217387537820718	0.4277801129237936	0.4547256180635349	0.561609252233796	0.609225188342005	0.5784903122806511	0.6120574359842371	0.30020211000907626	0.2800145773439177	0.3267466796764028	0.2979222788757791	0.2878120834208801	0.27322421916296963	0.2860507611505753	0.3942228399420856	0.34015274218631564	0.26812307115321654	0.27319014367011324	0.24337204903818083	0.25447151487762387	0.2767394253109393	0.2878390596733454	0.5206152683548407	0.6460116282400935	0.6418422861377872	0.7078292966561714	0.7073580218253036	0.0	0.8515879820768383	0.29408793980629583	0.25502415970399134	0.21935295493951784	0.24653964166624237	0.21208924165640955	0.2463428968160333
BANKSY_4	0.29225510513643455	0.4112766246182938	0.3915960715572043	0.3982369241107851	0.4124840664897309	0.5086222494094143	0.6326430423268312	0.6581428545734291	0.6347609312693479	0.26923953989148736	0.263841238199564	0.30843926152572954	0.2720663263618211	0.271896916257498	0.2560565513563446	0.2706930967427091	0.3831228362081297	0.32192949710420227	0.3519766191706384	0.24874811912361822	0.22252708470072438	0.23488736524436166	0.28826191474835344	0.27090730312028943	0.4773510543209771	0.665554234588106	0.6625026541328626	0.7512320585348482	0.7509888525794142	0.8515879820768383	0.0	0.2707002902988425	0.23036163965657436	0.19693586609771815	0.25894479600238623	0.18913749542229633	0.22155510513426527
STAGATE_12	0.3991623923941803	0.4115659447668584	0.30448590074311327	0.29040463957360224	0.26607473051123615	0.23990744088705185	0.19236913190248942	0.21560178089889143	0.19214043478080536	0.676271778950481	0.6444093917682475	0.5735644140683746	0.6581567390010267	0.6979619727325669	0.6922192763906414	0.7356667407134333	0.5177250049842644	0.41389073173942276	0.36017816320151685	0.5282108758110042	0.6377443267489343	0.5967132796843766	0.6524292426313325	0.7782636107086396	0.28569126207417134	0.21797751990783407	0.21827209919438165	0.21370335987870603	0.21490108030827507	0.29408793980629583	0.2707002902988425	0.0	0.5871405001526973	0.5577670121438584	0.6759360891677731	0.5865199286763332	0.7314190967095768
STAGATE_11	0.36897630938866904	0.35145193606779024	0.28502491265260566	0.2407313199268544	0.2305937454986037	0.22130240542450672	0.16228672076371603	0.1747485756329285	0.16151242920562764	0.5698603552833534	0.5358138616498754	0.4996826883413911	0.5777119294097843	0.5943304396628103	0.6007337801244477	0.6311933523375592	0.4401646448784697	0.38768489173087856	0.44228994165129115	0.5220202512274573	0.5105423459795724	0.4970081057593655	0.5922009939697601	0.6606217458150277	0.2358690920815753	0.20588430728758267	0.2064190303780068	0.19349823050441678	0.1943582292350848	0.25502415970399134	0.23036163965657436	0.5871405001526973	0.0	0.5392059166913703	0.5820780609850864	0.5075216882162208	0.5577291515457541
STAGATE_3	0.390328845837224	0.3122737673163185	0.2188641550437748	0.207455346191044	0.21318407403432227	0.19223835408682244	0.14582377537460636	0.15751627162799428	0.14567298022535083	0.5555009982562548	0.528455358242941	0.47305524055023923	0.5509984709650984	0.5938623452185932	0.6005938219183431	0.6269989259168159	0.3989130383485613	0.31684838085733824	0.25979557911518464	0.4399562920576692	0.49543737248260683	0.4934434121911204	0.5547888967631551	0.6416387028496257	0.22233361172614916	0.1634181653963135	0.16384287803808786	0.166208031445674	0.16732018521710101	0.21935295493951784	0.19693586609771815	0.5577670121438584	0.5392059166913703	0.0	0.5204293016434491	0.5221959570608459	0.5438984635578262
STAGATE_10	0.4239118071029273	0.35017828765948245	0.28359713264657527	0.23189076622467975	0.2262465997437961	0.20724100779673865	0.16106191652719345	0.19321447717148493	0.16088372674654108	0.6074372790911231	0.5713480099843303	0.49597964661226207	0.5896698017099259	0.6577823456652988	0.643832520087986	0.7018980208286738	0.47986408947355325	0.3873492233306169	0.40301015074521246	0.47153269061191333	0.5747212409695627	0.5304390013208122	0.6239191388183909	0.725299398209013	0.25056392324521415	0.18931886795956446	0.18972712674885325	0.19097080636247743	0.19228316248689886	0.24653964166624237	0.25894479600238623	0.6759360891677731	0.5820780609850864	0.5204293016434491	0.0	0.5553818485251216	0.6488270494809463
STAGATE_1	0.334549294993581	0.3218113154815929	0.23807732307485555	0.2252120717263715	0.24959934845333007	0.19567082141674574	0.13799091592963372	0.15666216701977637	0.13746566535357468	0.5749691949474889	0.543047091342571	0.46283907219414905	0.5495575483400961	0.5937299543978469	0.5947446403702031	0.6240381416721642	0.4350538547128955	0.3362991182222361	0.2670661691508974	0.45469148747408417	0.5775890389440771	0.47551382915358925	0.5386338093813349	0.6405256485999371	0.2240749505612672	0.15931468105106597	0.1599405261229714	0.15805719376437655	0.1590051008369065	0.21208924165640955	0.18913749542229633	0.5865199286763332	0.5075216882162208	0.5221959570608459	0.5553818485251216	0.0	0.5992634217868603
STAGATE_13	0.35378803488575616	0.4072762649177685	0.26638332706417533	0.27781457199592613	0.2532814728950651	0.2305217990091941	0.17223098233693765	0.1903168052144104	0.171376191422504	0.6796385757162393	0.6379734591141812	0.5676228994026155	0.66467256328512	0.6536568853499835	0.6448822598834991	0.6948048791722523	0.4725114156620918	0.4075775746714667	0.3152847442650947	0.512361589725346	0.7250948287370791	0.6199055204102161	0.6016927985731985	0.7255759480985372	0.2763275406223014	0.17723921478979093	0.17788418071837658	0.1765238012314504	0.17747828782195182	0.2463428968160333	0.22155510513426527	0.7314190967095768	0.5577291515457541	0.5438984635578262	0.6488270494809463	0.5992634217868603	0.0
